method,tier,decision,selection_eligible,rejection_reason,top1_oracle_hit_mean,spearman_mean,mean_oracle_gap_pct_mean,top1_uplift_vs_metadata,spearman_uplift_vs_metadata,oracle_gap_pct_reduction_vs_metadata,top1_std_over_runs,spearman_std_over_runs,gap_pct_std_over_runs,domain_clustered_top1_uplift_std,domain_clustered_spearman_uplift_std,domain_clustered_gap_pct_reduction_std,stable_sign_across_seeds_domains,not_lose_support_static_embedding_routing,beats_support_set_nelbo_top1,matches_support_set_nelbo_top1_within_interval,strict_support_non_regression,improves_support_stability_or_regret,top1_tolerance_abs,uses_no_direct_support_utility_terms,bottom_half_selection_rate,high_regret_selection_rate,catastrophic_mistake_rate,harmful_override_rate,harmful_override_rate_reduction_vs_unrestricted_response,override_rate,expert4_override_candidate_rate,expert4_override_accepted_rate,expert4_override_blocked_rate,n_runs,n_domain_level_units
expert_id_only_pairwise,diagnostic_only,not_selected,0,control_or_diagnostic_method,0.26666666666666666,0.16144246916236119,4.918433118416993,-0.022222222222222254,0.16144246916236119,-0.8062577340499377,0.1885618083164127,0.11781422379753229,2.947167250650019,0.3744955454745048,0.49137060884244044,5.316833223821656,0,0,0,0,0,0,0.06666666666666667,0,0.20000000000000004,0.6277777777777778,0.6277777777777778,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
risk_constrained_response_routing,weak_pass,not_selected,1,,0.39999999999999997,0.3255555555555556,3.522184285984087,0.11111111111111105,0.3255555555555556,0.5899910983829684,0.12981468272831023,0.08075263249158501,1.1578651583859438,0.18675262571079568,0.2760076935767919,1.444315289059669,1,0,0,0,0,0,0.06666666666666667,0,0.07777777777777778,0.4611111111111111,0.4611111111111111,0.30627705627705626,0.36897136287380194,0.18333333333333335,0.2222222222222222,0.049999999999999996,0.7791666666666667,3,15
source_global_prior_routing,fail,not_selected,1,worse_than_metadata_or_unstable,0.17777777777777778,0.005555555555555519,7.981188197564731,-0.11111111111111113,0.005555555555555519,-3.869012813197676,0.13698697784375502,0.25462148135110696,2.110770873802184,0.5115939748098373,0.5876716980520315,7.3111368479649395,0,0,0,0,0,0,0.06666666666666667,0,0.5111111111111112,0.7055555555555556,0.7055555555555556,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
source_leave_pseudo_domain_out_ranker_diagnostic,diagnostic_only,not_selected,0,control_or_diagnostic_method,0.4041666666666666,0.1875,5.414449597058163,0.1152777777777777,0.1875,-1.302274212691108,0.05137011669140813,0.17172868351193035,1.1742702143319554,0.41421966647995534,0.3457956806812048,3.4649435299122406,0,0,0,0,0,0,0.06666666666666667,0,0.24305555555555555,0.5152777777777778,0.5152777777777778,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
support_candidate_oracle,reference_only,not_selected,0,predeclared_candidate_oracle_diagnostic,1.0,1.0,0.0,0.711111111111111,1.0,4.112175384367055,0.0,0.0,0.0,0.4365973934308556,0.0,4.3203285076329045,1,1,1,0,1,1,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
support_metadata_routing,baseline,baseline_reference,0,,0.2888888888888889,0.0,4.112175384367055,0.0,0.0,0.0,0.15713484026367724,0.0,1.0976180898212404,0.0,0.0,0.0,1,0,0,0,0,0,0.06666666666666667,0,0.06666666666666667,0.5611111111111111,0.5611111111111111,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
support_response_pairwise_response_indirect_shuffled,diagnostic_only,not_selected,0,control_or_diagnostic_method,0.27777777777777773,-0.0011111111111111174,8.22180341841958,-0.011111111111111183,-0.0011111111111111174,-4.109628034052524,0.05665577237325315,0.010999438818457411,0.8844068663713888,0.4501714351085088,0.12209083847490841,3.301752380718846,0,0,0,0,0,0,0.06666666666666667,0,0.45555555555555555,0.6222222222222222,0.6222222222222222,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
support_response_pairwise_static_response_indirect,fail,not_selected,1,worse_than_metadata_or_unstable,0.37777777777777777,0.3255555555555556,6.322553175321559,0.08888888888888885,0.3255555555555556,-2.210377790954504,0.0749485420179558,0.08075263249158501,1.144920397557476,0.3744955454745048,0.2760076935767919,2.8084215042089404,0,0,0,0,0,0,0.06666666666666667,1,0.3833333333333333,0.5277777777777778,0.5277777777777778,0.6752484191508582,0.0,0.6555555555555556,0.0,0.0,0.0,3,15
support_set_nelbo_conservative,pass,selected,1,,0.8222222222222223,0.8466666666666666,0.7161991805945296,0.5333333333333334,0.8466666666666666,3.3959762037725256,0.04779069592801456,0.024944382578492866,0.05078808816928174,0.46027367060462177,0.10132456102380442,4.1500289853616055,1,1,0,0,1,1,0.08333333333333333,0,0.049999999999999996,0.10555555555555556,0.10555555555555556,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
support_set_nelbo_top1,pass,not_selected,1,,0.8222222222222223,0.8477777777777776,0.6224776550500023,0.5333333333333334,0.8477777777777776,3.489697729317053,0.05665577237325315,0.023147407395555167,0.09561514644169418,0.46427960923947065,0.09941805981452238,4.384946920877652,1,1,0,1,1,0,0.06666666666666667,0,0.044444444444444446,0.10000000000000002,0.10000000000000002,0.0,0.6752484191508582,0.0,0.0,0.0,0.0,3,15
