scope,method,heldout_center,k,selected_expert,count,share
by_center_k,metadata_routing,1,4,0,9,1.0
by_center_k,metadata_routing,1,8,0,9,1.0
by_center_k,metadata_routing,2,16,0,9,1.0
by_center_k,metadata_routing,2,32,0,9,1.0
by_center_k,metadata_routing,2,4,0,9,1.0
by_center_k,metadata_routing,2,8,0,9,1.0
by_center_k,metadata_routing,3,16,0,9,1.0
by_center_k,metadata_routing,3,32,0,9,1.0
by_center_k,metadata_routing,3,4,0,9,1.0
by_center_k,metadata_routing,3,8,0,9,1.0
by_center_k,metadata_routing,4,16,0,9,1.0
by_center_k,metadata_routing,4,32,0,9,1.0
by_center_k,metadata_routing,4,4,0,9,1.0
by_center_k,metadata_routing,4,8,0,9,1.0
overall,source_global_prior_routing,,,0,42,0.23333333333333334
overall,source_global_prior_routing,,,1,54,0.3
overall,source_global_prior_routing,,,2,48,0.26666666666666666
overall,source_global_prior_routing,,,3,12,0.06666666666666667
overall,source_global_prior_routing,,,4,24,0.13333333333333333
by_center_k,source_global_prior_routing,0,16,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,16,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,16,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,32,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,32,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,32,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,4,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,4,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,4,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,8,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,8,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,0,8,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,1,16,0,6,0.6666666666666666
by_center_k,source_global_prior_routing,1,16,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,1,32,0,6,0.6666666666666666
by_center_k,source_global_prior_routing,1,32,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,1,4,0,6,0.6666666666666666
by_center_k,source_global_prior_routing,1,4,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,1,8,0,6,0.6666666666666666
