heldout_center,source_bacc,pooled_bacc,delta_bacc,source_macro_f1,pooled_macro_f1,delta_macro_f1
0,0.6667507943863366,0.8863834458713977,0.21963265148506117,0.6524860760154878,0.8871005237747012,0.23461444775921336
1,0.6388140161725067,0.8989218328840971,0.26010781671159044,0.6306976882391395,0.8989069598879529,0.26820927164881336
2,0.5869565217391304,0.8581081081081081,0.27115158636897774,0.5853785061156797,0.858011044713862,0.2726325385981824
3,0.668848167539267,0.9280104712041886,0.25916230366492155,0.6550125203690251,0.9280004797683404,0.2729879593993153
5,0.6853035143769968,0.9201277955271565,0.23482428115015974,0.6842002832215555,0.9200461841849819,0.2358459009634264
6,0.6939890710382514,0.9153005464480874,0.2213114754098361,0.6890776699029126,0.9152999141502742,0.2262222442473616
7,0.7349397590361446,0.9216867469879518,0.18674698795180722,0.7333874107722258,0.9216788518382605,0.18829144106603468
8,0.7261638798307084,0.9005723999167419,0.17440852008603347,0.7200352566275681,0.9003612023435246,0.1803259457159565
9,0.6069364161849711,0.8843930635838151,0.277456647398844,0.6068181818181818,0.8842538386913323,0.2774356568731505
