rank,heldout_center,balanced_accuracy,auroc,gap_to_best_bacc
1,7,0.7349397590361446,0.8094062998983889,0.0
2,8,0.7261638798307084,0.789325608825366,0.00877587920543621
3,6,0.6939890710382514,0.7599808892472155,0.040950687997893254
4,5,0.6853035143769968,0.7367534628300789,0.04963624465914784
5,3,0.668848167539267,0.7456347139606919,0.0660915914968776
6,0,0.6667507943863366,0.7203470475307825,0.06818896464980806
7,1,0.6388140161725067,0.7014334391642024,0.09612574286363795
8,9,0.6069364161849711,0.6616993551404992,0.12800334285117354
9,2,0.5869565217391304,0.6290556765317916,0.14798323729701424
