scope,method,heldout_center,k,n_decisions,mean_oracle_gap_pct,max_oracle_gap_pct,high_regret_rate_gt1,high_regret_rate_gt2,high_regret_rate_gt5
by_center,conservative_support_nelbo,0,,36,0.905046973989142,18.8762870033989,0.08333333333333333,0.08333333333333333,0.08333333333333333
by_center,conservative_support_nelbo,1,,36,1.3117363326137377,11.124944794484579,0.1388888888888889,0.1388888888888889,0.1388888888888889
by_center,conservative_support_nelbo,2,,36,0.4356341697188573,3.847943344166047,0.1388888888888889,0.1111111111111111,0.0
by_center,conservative_support_nelbo,3,,36,0.16231773508519332,2.1006103740781303,0.08333333333333333,0.027777777777777776,0.0
by_center,conservative_support_nelbo,4,,36,0.44250426925417696,4.336870301189961,0.1111111111111111,0.1111111111111111,0.0
by_center,direct_support_nelbo,0,,36,0.3807056683391726,6.96578791116407,0.05555555555555555,0.05555555555555555,0.05555555555555555
by_center,direct_support_nelbo,1,,36,1.3117363326137377,11.124944794484579,0.1388888888888889,0.1388888888888889,0.1388888888888889
by_center,direct_support_nelbo,2,,36,0.4356341697188573,3.847943344166047,0.1388888888888889,0.1111111111111111,0.0
by_center,direct_support_nelbo,3,,36,0.16231773508519332,2.1006103740781303,0.08333333333333333,0.027777777777777776,0.0
by_center,direct_support_nelbo,4,,36,0.44250426925417696,4.336870301189961,0.1111111111111111,0.1111111111111111,0.0
by_center,metadata_routing,0,,36,8.654679526233046,14.351276052302394,1.0,1.0,0.9444444444444444
by_center,metadata_routing,1,,36,5.583306002084543,6.417335415361687,1.0,1.0,0.9722222222222222
by_center,metadata_routing,2,,36,1.9367081023457864,4.023559273011102,0.6666666666666666,0.4444444444444444,0.0
by_center,metadata_routing,3,,36,4.276920074530434,13.32388369636209,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_center,metadata_routing,4,,36,0.0971841923779635,0.8954583479297338,0.0,0.0,0.0
by_center,source_global_prior_routing,0,,36,13.990007615150903,20.28755258794104,1.0,1.0,0.9444444444444444
by_center,source_global_prior_routing,1,,36,6.881666653180807,10.139307583206447,1.0,1.0,0.9722222222222222
by_center,source_global_prior_routing,2,,36,7.371625449504943,15.233895385030301,0.8333333333333334,0.8333333333333334,0.5
by_center,source_global_prior_routing,3,,36,10.724834584564615,19.302980072870206,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center,source_global_prior_routing,4,,36,0.4740645975604514,1.6966265955637907,0.3333333333333333,0.0,0.0
