method,support_size,margin_bin,n_decisions,selection_stability_mean,p_oracle_selected_mean,oracle_gap_pct_mean,high_regret_rate_mean,wrong_confident_rate
conservative_support_nelbo,4,q1_low,12,0.6030833333333333,0.4701916666666666,2.6499837437905263,0.44185,0.25
conservative_support_nelbo,4,q2_mid_low,11,0.7390454545454546,0.5679454545454545,2.5474944707581053,0.24200909090909092,0.09090909090909091
conservative_support_nelbo,4,q3_mid_high,11,0.8301272727272727,0.726709090909091,2.509426824808638,0.25447272727272724,0.18181818181818182
conservative_support_nelbo,4,q4_high,11,0.9426545454545454,0.7765818181818183,0.782778638288222,0.13073636363636362,0.18181818181818182
conservative_support_nelbo,8,q1_low,12,0.6721916666666666,0.5354,2.3968520124007537,0.28820833333333334,0.3333333333333333
conservative_support_nelbo,8,q2_mid_low,11,0.7617181818181818,0.6030090909090909,2.1649926124299843,0.3090090909090909,0.09090909090909091
conservative_support_nelbo,8,q3_mid_high,11,0.8800090909090909,0.8489727272727272,1.0790425986450278,0.13849090909090908,0.09090909090909091
conservative_support_nelbo,8,q4_high,11,0.988009090909091,0.988009090909091,0.07808359832222901,0.009472727272727273,0.0
conservative_support_nelbo,16,q1_low,12,0.6030666666666666,0.570375,2.214839511450006,0.2509,0.08333333333333333
conservative_support_nelbo,16,q2_mid_low,11,0.8195090909090909,0.6308909090909091,1.1232290299447392,0.17931818181818182,0.0
conservative_support_nelbo,16,q3_mid_high,11,0.8971181818181818,0.8971181818181818,0.8366498015389024,0.08282727272727274,0.0
conservative_support_nelbo,16,q4_high,11,0.9861454545454545,0.9861454545454545,0.09299703063334158,0.007009090909090909,0.0
conservative_support_nelbo,32,q1_low,12,0.7241333333333334,0.5946250000000001,0.713492397622954,0.19090833333333335,0.0
conservative_support_nelbo,32,q2_mid_low,11,0.8868272727272728,0.7396454545454546,0.5457105333716344,0.07729090909090909,0.0
conservative_support_nelbo,32,q3_mid_high,11,0.9518545454545454,0.9518545454545454,0.3050635280184889,0.03209090909090909,0.0
conservative_support_nelbo,32,q4_high,11,0.9940727272727273,0.9940727272727273,0.04101696107702526,0.005927272727272728,0.0
direct_support_nelbo,4,q1_low,12,0.5993666666666667,0.47941666666666666,2.6854083187866613,0.42225833333333335,0.25
direct_support_nelbo,4,q2_mid_low,11,0.7573545454545454,0.5253636363636364,2.565941288036759,0.27966363636363634,0.18181818181818182
direct_support_nelbo,4,q3_mid_high,11,0.8077090909090909,0.7147909090909091,2.3886386547076763,0.2671909090909091,0.18181818181818182
direct_support_nelbo,4,q4_high,11,0.9478090909090909,0.8571909090909091,0.5741947188520344,0.052190909090909086,0.09090909090909091
direct_support_nelbo,8,q1_low,12,0.6503416666666667,0.4940333333333333,2.6906444880746037,0.3329666666666667,0.3333333333333333
direct_support_nelbo,8,q2_mid_low,11,0.7864909090909091,0.6661727272727272,1.1901401216772742,0.23985454545454543,0.0
direct_support_nelbo,8,q3_mid_high,11,0.8825727272727272,0.8538090909090909,1.290741764895,0.1323,0.09090909090909091
direct_support_nelbo,8,q4_high,11,0.9876727272727273,0.9876727272727273,0.0778124153404877,0.009672727272727272,0.0
direct_support_nelbo,16,q1_low,12,0.6007916666666667,0.5670416666666667,2.224738980575175,0.2529,0.08333333333333333
direct_support_nelbo,16,q2_mid_low,11,0.8189272727272727,0.630990909090909,1.1219601373182202,0.17931818181818182,0.0
direct_support_nelbo,16,q3_mid_high,11,0.8970818181818182,0.8970818181818182,0.8500123452416645,0.08339090909090908,0.0
direct_support_nelbo,16,q4_high,11,0.9871272727272727,0.9871272727272727,0.08803138450101132,0.006609090909090909,0.0
direct_support_nelbo,32,q1_low,12,0.7255833333333334,0.5951916666666667,0.7149305210252851,0.19153333333333333,0.0
direct_support_nelbo,32,q2_mid_low,11,0.8862727272727273,0.7377454545454545,0.5472341355067776,0.07682727272727273,0.0
direct_support_nelbo,32,q3_mid_high,11,0.9519272727272727,0.9519272727272727,0.3002518203555155,0.03167272727272727,0.0
direct_support_nelbo,32,q4_high,11,0.9943000000000001,0.9943000000000001,0.039226068792366196,0.0057,0.0
