method,source_method,support_size,n_decisions,top1_mean,top1_ci_low,top1_ci_high,spearman_mean,spearman_ci_low,spearman_ci_high,oracle_gap_pct_mean,oracle_gap_pct_ci_low,oracle_gap_pct_ci_high,high_regret_rate_mean,high_regret_rate_ci_low,high_regret_rate_ci_high,selection_stability_mean,selection_stability_ci_low,selection_stability_ci_high,beats_metadata_gap_prob,beats_metadata_top1_prob,bootstrap_reps,bootstrap_seed
conservative_support_nelbo,support_set_nelbo_conservative,4,45,0.6316866666666667,0.5333333333333333,0.7333333333333333,0.6566226666666668,0.5777777777777778,0.728888888888889,2.1341445377309096,1.1730391764406198,3.299017877499891,0.27114666666666665,0.17777777777777778,0.37777777777777777,0.7748244444444444,0.6666666666666666,0.8888888888888888,1.0,1.0,10000,1337
conservative_support_nelbo,support_set_nelbo_conservative,8,45,0.7392155555555555,0.6444444444444445,0.8222222222222222,0.7538777777777779,0.6800000000000002,0.8177777777777777,1.4512340233817487,0.6477434737310807,2.364202677233693,0.18855999999999998,0.1111111111111111,0.28888888888888886,0.8220755555555556,0.7111111111111111,0.9111111111111111,1.0,1.0,10000,1337
conservative_support_nelbo,support_set_nelbo_conservative,16,45,0.7666711111111111,0.6666666666666666,0.8666666666666667,0.808396,0.7377777777777779,0.8711111111111107,1.0924379693485975,0.39975642129329475,1.9518152954782397,0.1327,0.044444444444444446,0.2222222222222222,0.8214955555555556,0.7111111111111111,0.9111111111111111,1.0,1.0,10000,1337
conservative_support_nelbo,support_set_nelbo_conservative,32,45,0.81504,0.7333333333333333,0.8888888888888888,0.8786679999999999,0.8311111111111111,0.9199999999999998,0.4082580004136463,0.09744351238472902,0.917479004673775,0.07909555555555556,0.022222222222222223,0.15555555555555556,0.8855533333333333,0.8,0.9555555555555556,1.0,1.0,10000,1337
direct_support_nelbo,support_set_nelbo_top1,4,45,0.6405288888888889,0.5333333333333333,0.7333333333333333,0.6681893333333335,0.586666666666667,0.7422222222222223,2.0675871356222464,1.127314999232222,3.187476735901451,0.2590355555555555,0.15555555555555556,0.35555555555555557,0.7740888888888888,0.6666666666666666,0.8888888888888888,0.9998,1.0,10000,1337
direct_support_nelbo,support_set_nelbo_top1,8,45,0.7447244444444444,0.6444444444444445,0.8444444444444444,0.7636284444444446,0.6888888888888892,0.8311111111111109,1.342963803954125,0.5732703551566674,2.2195333909280297,0.18212666666666666,0.08888888888888889,0.26666666666666666,0.8228488888888889,0.7111111111111111,0.9111111111111111,1.0,1.0,10000,1337
direct_support_nelbo,support_set_nelbo_top1,16,45,0.7660377777777778,0.6666666666666666,0.8666666666666667,0.8081417777777777,0.737777777777778,0.8666666666666667,1.0968202289904878,0.4103640266752661,1.9153918225743471,0.13327333333333333,0.044444444444444446,0.2222222222222222,0.8209777777777777,0.7111111111111111,0.9111111111111111,1.0,1.0,10000,1337
direct_support_nelbo,support_set_nelbo_top1,32,45,0.8148,0.7333333333333333,0.8888888888888888,0.8786466666666666,0.8311111111111111,0.9199999999999998,0.40739996718899274,0.09798079157157513,0.9025777192407255,0.07899111111111111,0.022222222222222223,0.15555555555555556,0.8858777777777778,0.8,0.9555555555555556,1.0,1.0,10000,1337
