experiment_seed,heldout_center,support_size,support_seed,method,source_method,deterministic_selected_expert,oracle_expert,selection_stability,p_oracle_selected,p_eval_rank_le_2,mean_bootstrap_oracle_gap_pct,ci_low_oracle_gap_pct,ci_high_oracle_gap_pct,p_high_regret_gt_2,p_catastrophic_gt_5,p_selection_changed,mean_bootstrap_support_margin,margin_bin,split_id
42,2,4,17,direct_support_nelbo,support_set_nelbo_top1,4,4,0.7863,0.7863,0.7863,0.7508394690218572,0.0,3.5135211465692895,0.2137,0.0,0.2137,32.852057341766354,q3_mid_high,target2_seed17_random_k4
42,2,8,17,direct_support_nelbo,support_set_nelbo_top1,4,4,0.8992,0.8992,0.9231,0.3540040662283385,0.0,3.4544616847436114,0.1008,0.0007,0.1008,23.654456899261476,q3_mid_high,target2_seed17_random_k8
42,2,16,17,direct_support_nelbo,support_set_nelbo_top1,4,4,0.996,0.996,0.998,0.011858223150167348,0.0,0.0,0.004,0.0,0.004,34.63109994077683,q4_high,target2_seed17_random_k16
42,2,32,17,direct_support_nelbo,support_set_nelbo_top1,4,4,0.9999,0.9999,0.9999,0.0002522740408363118,0.0,0.0,0.0001,0.0,0.0001,30.31553588242531,q4_high,target2_seed17_random_k32
42,2,4,23,direct_support_nelbo,support_set_nelbo_top1,3,4,0.655,0.0946,0.345,3.446018780114347,0.0,3.847943344166047,0.9054,0.0,0.345,7.967136708068848,q1_low,target2_seed23_random_k4
42,2,8,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.6784,0.6784,0.7873,1.2042832413198645,0.0,3.8013939430679917,0.3216,0.0,0.3216,9.210127716064454,q1_low,target2_seed23_random_k8
42,2,16,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.974,0.974,0.9903,0.09149191262906216,0.0,3.518895361563115,0.026,0.0,0.026,13.954106755161286,q2_mid_low,target2_seed23_random_k16
42,2,32,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.7923,0.7923,0.7983,0.8334960756889337,0.0,4.023559273011102,0.2077,0.0,0.2077,5.40604161067009,q1_low,target2_seed23_random_k32
42,2,4,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.9287,0.9287,0.9824,0.2540882870048284,0.0,3.5502393348391106,0.0713,0.0,0.0713,17.395551861190796,q2_mid_low,target2_seed31_random_k4
42,2,8,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.9578,0.9578,0.9981,0.14750352781049023,0.0,3.4950434219016495,0.0422,0.0,0.0422,17.818487115859984,q2_mid_low,target2_seed31_random_k8
42,2,16,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.7103999999999999,0.7104,0.784,1.0895360891613293,0.0,3.7924470915821504,0.2896,0.0,0.2896,9.382617029571533,q1_low,target2_seed31_random_k16
42,2,32,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.9012,0.9012,0.9105,0.36371069912631626,0.0,3.717582751996449,0.0988,0.0,0.0988,9.400928219223022,q1_low,target2_seed31_random_k32
42,3,4,17,direct_support_nelbo,support_set_nelbo_top1,1,1,0.706,0.706,0.945,5.115165787926011,0.0,35.104683354463106,0.294,0.294,0.294,43.04772146987915,q3_mid_high,target3_seed17_random_k4
42,3,8,17,direct_support_nelbo,support_set_nelbo_top1,1,1,0.9898,0.9898,0.9996,0.14050227540948898,0.0,0.0,0.0102,0.0102,0.0102,60.050284143829344,q4_high,target3_seed17_random_k8
42,3,16,17,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.05028495349885,q4_high,target3_seed17_random_k16
42,3,32,17,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.024085019063946,q4_high,target3_seed17_random_k32
42,3,4,23,direct_support_nelbo,support_set_nelbo_top1,1,1,0.9957,0.9957,1.0,0.05694665727494482,0.0,0.0,0.0043,0.0043,0.0043,40.63978176345825,q4_high,target3_seed23_random_k4
42,3,8,23,direct_support_nelbo,support_set_nelbo_top1,1,1,0.9997,0.9997,1.0,0.003859176198926915,0.0,0.0,0.0003,0.0003,0.0003,63.15787005405426,q4_high,target3_seed23_random_k8
