matched_key,dataset_name,backbone_type,run_id,target_domain,support_seed,support_size_requested,sampling_policy,sampling_policy_effective,support_gap,metadata_gap,embedding_gap,normalized_gap_reduction_vs_metadata,normalized_gap_reduction_vs_static_embedding,top1_delta_vs_metadata,top1_delta_vs_static_embedding,safe_audit
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|8|class_balanced|class_balanced|target100_seed23_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,8,class_balanced,class_balanced,0.0,0.0813026544167855,0.0,0.0813026544167855,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|8|random|random|target100_seed23_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,8,random,random,0.33021921186365266,0.33021921186365266,0.33021921186365266,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|16|class_balanced|class_balanced|target100_seed31_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,16,class_balanced,class_balanced,0.0,0.15033239948341712,0.0,0.15033239948341712,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|16|random|random|target100_seed31_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,16,random,random,0.011850758118982598,0.0,0.0,-0.011850758118982598,-0.011850758118982598,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|32|class_balanced|class_balanced|target100_seed31_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,32,class_balanced,class_balanced,0.35684622346296524,0.35684622346296524,0.0,0.0,-0.35684622346296524,0.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|32|random|random|target100_seed31_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,32,random,random,0.14848820499826182,0.0,0.0,-0.14848820499826182,-0.14848820499826182,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|4|class_balanced|class_balanced|target100_seed31_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,4,class_balanced,class_balanced,1.0,0.16236770230428846,0.0,-0.8376322976957116,-1.0,0.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|4|random|random|target100_seed31_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,4,random,random,0.3700530131476081,0.3700530131476081,0.3700530131476081,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|64|class_balanced|random_fallback|target100_seed31_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,64,class_balanced,random_fallback,0.0,0.2671652198656741,0.0,0.2671652198656741,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|64|random|random|target100_seed31_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,64,random,random,0.0,0.2671652198656741,0.0,0.2671652198656741,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|8|class_balanced|class_balanced|target100_seed31_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,8,class_balanced,class_balanced,0.0,0.061237211950257275,0.0,0.061237211950257275,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|31|8|random|random|target100_seed31_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,31,8,random,random,0.0,0.2537753376427961,0.2537753376427961,0.2537753376427961,0.2537753376427961,1.0,1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|16|class_balanced|class_balanced|target200_seed17_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,16,class_balanced,class_balanced,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|16|random|random|target200_seed17_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,16,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|32|class_balanced|class_balanced|target200_seed17_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,32,class_balanced,class_balanced,1.0,0.26378826695025037,0.26378826695025037,-0.7362117330497496,-0.7362117330497496,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|32|random|random|target200_seed17_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,32,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|4|class_balanced|class_balanced|target200_seed17_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,4,class_balanced,class_balanced,0.9619856919545847,0.0,0.0,-0.9619856919545847,-0.9619856919545847,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|4|random|random|target200_seed17_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,4,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|64|class_balanced|random_fallback|target200_seed17_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,64,class_balanced,random_fallback,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|64|random|random|target200_seed17_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,64,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|8|class_balanced|class_balanced|target200_seed17_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,8,class_balanced,class_balanced,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|17|8|random|random|target200_seed17_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,17,8,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|16|class_balanced|class_balanced|target200_seed23_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,16,class_balanced,class_balanced,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|16|random|random|target200_seed23_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,16,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|32|class_balanced|class_balanced|target200_seed23_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,32,class_balanced,class_balanced,0.8173319417868301,0.8173319417868301,0.8173319417868301,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|32|random|random|target200_seed23_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,32,random,random,1.0,0.00407315874133905,0.00407315874133905,-0.9959268412586609,-0.9959268412586609,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|4|class_balanced|class_balanced|target200_seed23_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,4,class_balanced,class_balanced,1.0,0.16229586240641922,0.16229586240641922,-0.8377041375935808,-0.8377041375935808,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|4|random|random|target200_seed23_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,4,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|64|class_balanced|random_fallback|target200_seed23_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,64,class_balanced,random_fallback,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|64|random|random|target200_seed23_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,64,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
