method,source_method,support_size,n_rows,n_run_seeds,n_support_seeds,top1_oracle_hit,spearman,spearman_valid_rows,mean_oracle_gap_pct,rank_agreement_spearman,selection_stability_unique_experts,support_margin,eval_margin
metadata_routing,support_metadata_routing,4,36,3,3,0.19444444444444445,-0.09622504659200704,18,11.072078263952195,-0.09622504659200704,4,50.729942851596405,33.37392687584194
metadata_routing,support_metadata_routing,8,36,3,3,0.16666666666666666,-0.14433756988801055,18,11.268009476011397,-0.14433756988801055,4,38.95165676540799,33.505400064417316
metadata_routing,support_metadata_routing,16,36,3,3,0.16666666666666666,-0.14433756988801055,18,11.17107729033849,-0.14433756988801055,4,37.18922045495775,33.12489010520287
metadata_routing,support_metadata_routing,32,36,3,3,0.16666666666666666,-0.14433756988801055,18,11.125733693600814,-0.14433756988801055,4,34.79397467772166,33.49728448704511
random_expert_floor,support_random_expert_floor,4,36,3,3,0.3888888888888889,0.013888888888888888,36,10.15766344355681,0.013888888888888888,4,50.729942851596405,33.37392687584194
random_expert_floor,support_random_expert_floor,8,36,3,3,0.3611111111111111,0.0,36,9.269064276278984,0.0,4,38.95165676540799,33.505400064417316
random_expert_floor,support_random_expert_floor,16,36,3,3,0.4166666666666667,0.16666666666666666,36,6.506208654491684,0.16666666666666666,4,37.18922045495775,33.12489010520287
random_expert_floor,support_random_expert_floor,32,36,3,3,0.3611111111111111,0.041666666666666664,36,8.626326812322,0.041666666666666664,4,34.79397467772166,33.49728448704511
conservative_support_nelbo,support_set_nelbo_conservative,4,36,3,3,0.6944444444444444,0.6527777777777778,36,1.320007922007292,0.6527777777777778,4,50.729942851596405,33.37392687584194
conservative_support_nelbo,support_set_nelbo_conservative,8,36,3,3,0.8055555555555556,0.8194444444444444,36,0.24021193697698,0.8194444444444444,3,38.95165676540799,33.505400064417316
conservative_support_nelbo,support_set_nelbo_conservative,16,36,3,3,0.8055555555555556,0.8194444444444444,36,0.5300395164282125,0.8194444444444444,3,37.18922045495775,33.12489010520287
conservative_support_nelbo,support_set_nelbo_conservative,32,36,3,3,0.7222222222222222,0.75,36,0.6807494099756229,0.75,3,34.79397467772166,33.49728448704511
direct_support_nelbo,support_set_nelbo_top1,4,36,3,3,0.6944444444444444,0.6666666666666666,36,1.320007922007292,0.6666666666666666,4,50.729942851596405,33.37392687584194
direct_support_nelbo,support_set_nelbo_top1,8,36,3,3,0.8055555555555556,0.8194444444444444,36,0.24021193697698,0.8194444444444444,3,38.95165676540799,33.505400064417316
direct_support_nelbo,support_set_nelbo_top1,16,36,3,3,0.8055555555555556,0.8194444444444444,36,0.5300395164282125,0.8194444444444444,3,37.18922045495775,33.12489010520287
direct_support_nelbo,support_set_nelbo_top1,32,36,3,3,0.7222222222222222,0.75,36,0.6807494099756229,0.75,3,34.79397467772166,33.49728448704511
static_embedding_routing,support_static_embedding_routing,4,36,3,3,0.5277777777777778,0.19444444444444445,36,5.026708017539189,0.19444444444444445,4,50.729942851596405,33.37392687584194
static_embedding_routing,support_static_embedding_routing,8,36,3,3,0.5277777777777778,0.20833333333333334,36,5.381112407602954,0.20833333333333334,3,38.95165676540799,33.505400064417316
static_embedding_routing,support_static_embedding_routing,16,36,3,3,0.5555555555555556,0.2361111111111111,36,5.109244721612634,0.2361111111111111,3,37.18922045495775,33.12489010520287
static_embedding_routing,support_static_embedding_routing,32,36,3,3,0.5,0.08333333333333333,36,6.446816504932822,0.08333333333333333,2,34.79397467772166,33.49728448704511
