seed,method,top1_oracle_hit_mean,spearman_mean,oracle_gap_pct_mean
42,support_metadata_routing,0.22916666666666666,-0.03608439247200264,11.774266637232708
42,support_static_embedding_routing,0.5833333333333334,0.15625,5.40673681210479
42,support_random_expert_floor,0.3958333333333333,0.0625,8.68194972992277
42,support_set_nelbo_top1,0.6666666666666666,0.8020833333333334,0.31382518596020853
42,support_set_nelbo_conservative,0.6666666666666666,0.7916666666666666,0.31382518596020853
43,support_metadata_routing,0.22916666666666666,-0.03608439247200264,10.735694864014569
43,support_static_embedding_routing,0.625,0.2916666666666667,4.658383928425369
43,support_random_expert_floor,0.3541666666666667,0.07291666666666667,7.6042668900519965
43,support_set_nelbo_top1,0.8541666666666666,0.7291666666666666,1.2099931760527531
43,support_set_nelbo_conservative,0.8541666666666666,0.7291666666666666,1.2099931760527531
44,support_metadata_routing,0.0625,-0.32475953224802373,10.967712541679894
44,support_static_embedding_routing,0.375,0.09375,6.407790498235539
44,support_random_expert_floor,0.3958333333333333,0.03125,9.633230770012345
44,support_set_nelbo_top1,0.75,0.7604166666666666,0.554438227028119
44,support_set_nelbo_conservative,0.75,0.7604166666666666,0.554438227028119
